muni_code_6digit,muni_name,comarca_code,comarca_name,muni_code_5digit,has_edar
430326,Bot,37,Terra Alta,43032,0
430332,Botarell,08,Baix Camp,43033,0
250560,Bovera,18,Garrigues,25056,0
430347,Bràfim,01,Alt Camp,43034,0
170274,Breda,34,Selva,17027,0
080253,"Bruc, el",06,Anoia,08025,1
080266,"Brull, el",24,Osona,08026,0
170280,Brunyola i Sant Martí Sapresa,34,Selva,17028,0
430350,Cabacés,29,Priorat,43035,0
250609,Cabanabona,23,Noguera,25060,0
170314,Cabanelles,02,Alt Empordà,17031,0
170307,Cabanes,02,Alt Empordà,17030,0
080272,"Cabanyes, les",03,Alt Penedès,08027,1
250616,Cabó,04,Alt Urgell,25061,0
430363,Cabra del Camp,01,Alt Camp,43036,0
080288,Cabrera d'Anoia,06,Anoia,08028,0
080291,Cabrera de Mar,21,Maresme,08029,1
080305,Cabrils,21,Maresme,08030,1
170329,Cadaqués,02,Alt Empordà,17032,0
080312,Calaf,06,Anoia,08031,0
430379,Calafell,12,Baix Penedès,43037,0
080348,Calders,42,Moianès,08034,0
080327,Caldes d'Estrac,21,Maresme,08032,0
170335,Caldes de Malavella,34,Selva,17033,0
080333,Caldes de Montbui,41,Vallès Oriental,08033,0
080351,Calella,21,Maresme,08035,0
080370,Calldetenes,24,Osona,08037,1
080386,Callús,07,Bages,08038,1
080364,Calonge de Segarra,06,Anoia,08036,0
170340,Calonge i Sant Antoni,10,Baix Empordà,17034,1
250621,Camarasa,23,Noguera,25062,0
439039,Camarles,09,Baix Ebre,43903,0
430385,Cambrils,08,Baix Camp,43038,0
170353,Camós,28,Pla de l'Estany,17035,1
170366,Campdevànol,31,Ripollès,17036,1
170372,Campelles,31,Ripollès,17037,0
080399,Campins,41,Vallès Oriental,08039,0
170388,Campllong,20,Gironès,17038,0
170391,Camprodon,31,Ripollès,17039,0
250637,Canejan,39,Aran,25063,0
170405,Canet d'Adri,20,Gironès,17040,0
080403,Canet de Mar,21,Maresme,08040,0
439076,"Canonja, la",36,Tarragonès,43907,0
080410,Canovelles,41,Vallès Oriental,08041,1
080425,Cànoves i Samalús,41,Vallès Oriental,08042,0
170412,Cantallops,02,Alt Empordà,17041,0
080431,Canyelles,17,Garraf,08043,0
430398,Capafonts,08,Baix Camp,43039,0
430402,Capçanes,29,Priorat,43040,0
080446,Capellades,06,Anoia,08044,0
170427,Capmany,02,Alt Empordà,17042,0
080459,Capolat,14,Berguedà,08045,0
080462,Cardedeu,41,Vallès Oriental,08046,0
080478,Cardona,07,Bages,08047,0
080484,Carme,06,Anoia,08048,0
430419,Caseres,37,Terra Alta,43041,0
170448,Cassà de la Selva,20,Gironès,17044,0
080497,Casserres,14,Berguedà,08049,0
170486,"Castell d'Aro, Platja d'Aro i s'Agaró",10,Baix Empordà,17048,1
080575,Castell de l'Areny,14,Berguedà,08057,0
259046,Castell de Mur,25,Pallars Jussà,25904,0
250642,Castellar de la Ribera,35,Solsonès,25064,0
080522,Castellar de n'Hug,14,Berguedà,08052,0
080500,Castellar del Riu,14,Berguedà,08050,0
080517,Castellar del Vallès,40,Vallès Occidental,08051,0
080538,Castellbell i el Vilar,07,Bages,08053,0
080543,Castellbisbal,40,Vallès Occidental,08054,1
080556,Castellcir,42,Moianès,08055,0
250674,Castelldans,18,Garrigues,25067,0
080569,Castelldefels,11,Baix Llobregat,08056,1
080581,Castellet i la Gornal,03,Alt Penedès,08058,0
170464,Castellfollit de la Roca,19,Garrotxa,17046,0
080608,Castellfollit de Riubregós,06,Anoia,08060,0
080594,Castellfollit del Boix,07,Bages,08059,0
080615,Castellgalí,07,Bages,08061,0
080620,Castellnou de Bages,07,Bages,08062,0
250680,Castellnou de Seana,27,Pla d'Urgell,25068,0
170470,Castelló d'Empúries,02,Alt Empordà,17047,0
250693,Castelló de Farfanya,23,Noguera,25069,0
080636,Castellolí,06,Anoia,08063,0
250707,Castellserà,38,Urgell,25070,0
080641,Castellterçol,42,Moianès,08064,0
430424,Castellvell del Camp,08,Baix Camp,43042,1
080654,Castellví de la Marca,03,Alt Penedès,08065,1
080667,Castellví de Rosanes,11,Baix Llobregat,08066,1
430430,"Catllar, el",36,Tarragonès,43043,0
250714,Cava,04,Alt Urgell,25071,0
171899,"Cellera de Ter, la",34,Selva,17189,0
170499,Celrà,20,Gironès,17049,0
080673,Centelles,24,Osona,08067,0
082687,Cercs,14,Berguedà,08268,0
082665,Cerdanyola del Vallès,40,Vallès Occidental,08266,1
080689,Cervelló,11,Baix Llobregat,08068,1
250729,Cervera,32,Segarra,25072,1
250735,Cervià de les Garrigues,18,Garrigues,25073,0
170502,Cervià de Ter,20,Gironès,17050,0
170519,Cistella,02,Alt Empordà,17051,0
250740,Ciutadilla,38,Urgell,25074,0
250753,Clariana de Cardener,35,Solsonès,25075,0
250766,"Cogul, el",18,Garrigues,25076,0
170545,Colera,02,Alt Empordà,17054,0
250772,Coll de Nargó,04,Alt Urgell,25077,0
080692,Collbató,11,Baix Llobregat,08069,1
430458,Colldejou,08,Baix Camp,43045,0
080706,Collsuspina,42,Moianès,08070,0
170558,Colomers,10,Baix Empordà,17055,0
251636,"Coma i la Pedra, la",35,Solsonès,25163,0
251615,Conca de Dalt,25,Pallars Jussà,25161,0
430461,Conesa,16,Conca de Barberà,43046,0
430477,Constantí,36,Tarragonès,43047,1
080713,Copons,06,Anoia,08071,0
430483,Corbera d'Ebre,37,Terra Alta,43048,0
080728,Corbera de Llobregat,11,Baix Llobregat,08072,1
250788,Corbins,33,Segrià,25078,0
170577,Corçà,10,Baix Empordà,17057,0
080734,Cornellà de Llobregat,11,Baix Llobregat,08073,1
170561,Cornellà del Terri,28,Pla de l'Estany,17056,1
430496,Cornudella de Montsant,29,Priorat,43049,0
430509,Creixell,36,Tarragonès,43050,0
170583,Crespià,28,Pla de l'Estany,17058,0
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",10,Baix Empordà,17901,0
080749,Cubelles,17,Garraf,08074,0
250791,Cubells,23,Noguera,25079,0
430516,Cunit,12,Baix Penedès,43051,0
170600,Darnius,02,Alt Empordà,17060,0
170617,Das,15,Cerdanya,17061,0
439018,Deltebre,09,Baix Ebre,43901,0
080752,Dosrius,21,Maresme,08075,1
430537,Duesaigües,08,Baix Camp,43053,0
170622,"Escala, l'",02,Alt Empordà,17062,0
080765,Esparreguera,11,Baix Llobregat,08076,1
170638,Espinelves,24,Osona,17063,0
250812,"Espluga Calba, l'",18,Garrigues,25081,0
430542,"Espluga de Francolí, l'",16,Conca de Barberà,43054,0
080771,Esplugues de Llobregat,11,Baix Llobregat,08077,1
170643,Espolla,02,Alt Empordà,17064,0
170656,Esponellà,28,Pla de l'Estany,17065,0
250827,Espot,26,Pallars Sobirà,25082,0
080787,"Espunyola, l'",14,Berguedà,08078,0
082541,"Esquirol, l'",24,Osona,08254,0
250886,Estamariu,04,Alt Urgell,25088,0
080790,"Estany, l'",42,Moianès,08079,0
250851,Estaràs,32,Segarra,25085,0
250864,Esterri d'Àneu,26,Pallars Sobirà,25086,0
250870,Esterri de Cardós,26,Pallars Sobirà,25087,0
430555,Falset,29,Priorat,43055,1
170059,"Far d'Empordà, el",02,Alt Empordà,17005,0
250899,Farrera,26,Pallars Sobirà,25089,0
430568,"Fatarella, la",37,Terra Alta,43056,0
430574,"Febró, la",08,Baix Camp,43057,0
081347,Figaró-Montmany,41,Vallès Oriental,08134,0
080804,Fígols,14,Berguedà,08080,0
259084,Fígols i Alinyà,04,Alt Urgell,25908,0
430580,"Figuera, la",29,Priorat,43058,0
170669,Figueres,02,Alt Empordà,17066,1
430593,Figuerola del Camp,01,Alt Camp,43059,0
170675,Flaçà,20,Gironès,17067,0
430607,Flix,30,Ribera d'Ebre,43060,0
250925,"Floresta, la",18,Garrigues,25092,0
080826,Fogars de la Selva,34,Selva,08082,0
080811,Fogars de Montclús,41,Vallès Oriental,08081,0
170681,Foixà,10,Baix Empordà,17068,0
080832,Folgueroles,24,Osona,08083,0
250931,Fondarella,27,Pla d'Urgell,25093,1
080847,Fonollosa,07,Bages,08084,1
080850,Font-rubí,03,Alt Penedès,08085,1
170694,Fontanals de Cerdanya,15,Cerdanya,17069,0
170708,Fontanilles,10,Baix Empordà,17070,0
170715,Fontcoberta,28,Pla de l'Estany,17071,0
250946,Foradada,23,Noguera,25094,0
179026,Forallac,10,Baix Empordà,17902,0
430614,Forès,16,Conca de Barberà,43061,0
170736,Fornells de la Selva,20,Gironès,17073,1
170741,Fortià,02,Alt Empordà,17074,0
080863,"Franqueses del Vallès, les",41,Vallès Oriental,08086,1
430629,Freginals,22,Montsià,43062,0
250962,"Fuliola, la",38,Urgell,25096,0
250978,Fulleda,18,Garrigues,25097,0
080902,Gaià,07,Bages,08090,0
430635,"Galera, la",22,Montsià,43063,0
080879,Gallifa,40,Vallès Occidental,08087,0
430640,Gandesa,37,Terra Alta,43064,1
430653,Garcia,30,Ribera d'Ebre,43065,0
430666,"Garidells, els",01,Alt Camp,43066,0
080885,"Garriga, la",41,Vallès Oriental,08088,0
170754,Garrigàs,02,Alt Empordà,17075,0
170767,Garrigoles,10,Baix Empordà,17076,0
170773,Garriguella,02,Alt Empordà,17077,0
080898,Gavà,11,Baix Llobregat,08089,1
250984,Gavet de la Conca,25,Pallars Jussà,25098,0
080919,Gelida,03,Alt Penedès,08091,0
170789,Ger,15,Cerdanya,17078,0
259123,Gimenells i el Pla de la Font,33,Segrià,25912,0
430672,Ginestar,30,Ribera d'Ebre,43067,0
170792,Girona,20,Gironès,17079,1
080924,Gironella,14,Berguedà,08092,0
080930,Gisclareny,14,Berguedà,08093,0
430688,Godall,22,Montsià,43068,0
250997,Golmés,27,Pla d'Urgell,25099,1
170806,Gombrèn,31,Ripollès,17080,0
251001,Gósol,14,Berguedà,25100,0
080945,"Granada, la",03,Alt Penedès,08094,1
251018,"Granadella, la",18,Garrigues,25101,0
080958,Granera,42,Moianès,08095,0
251023,"Granja d'Escarp, la",33,Segrià,25102,0
080961,Granollers,41,Vallès Oriental,08096,1
251039,Granyanella,32,Segarra,25103,0
251057,Granyena de les Garrigues,18,Garrigues,25105,0
251044,Granyena de Segarra,32,Segarra,25104,0
430691,Gratallops,29,Priorat,43069,0
080977,Gualba,41,Vallès Oriental,08097,0
170813,Gualta,10,Baix Empordà,17081,0
080996,Guardiola de Berguedà,14,Berguedà,08099,0
430705,"Guiamets, els",29,Priorat,43070,0
170828,Guils de Cerdanya,15,Cerdanya,17082,0
251095,Guimerà,38,Urgell,25109,0
259031,"Guingueta d'Àneu, la",26,Pallars Sobirà,25903,0
251109,Guissona,32,Segarra,25110,0
251116,Guixers,35,Solsonès,25111,0
081000,Gurb,24,Osona,08100,1
430712,Horta de Sant Joan,37,Terra Alta,43071,0
081017,"Hospitalet de Llobregat, l'",13,Barcelonès,08101,1
081629,"Hostalets de Pierola, els",06,Anoia,08162,0
170834,Hostalric,34,Selva,17083,0
081022,Igualada,06,Anoia,08102,1
251155,Isona i Conca Dellà,25,Pallars Jussà,25115,0
170849,Isòvol,15,Cerdanya,17084,0
251137,Ivars d'Urgell,27,Pla d'Urgell,25113,0
251121,Ivars de Noguera,23,Noguera,25112,0
251142,Ivorra,32,Segarra,25114,0
170852,Jafre,10,Baix Empordà,17085,0
170865,"Jonquera, la",02,Alt Empordà,17086,0
081038,Jorba,06,Anoia,08103,0
259101,Josa i Tuixén,04,Alt Urgell,25910,0
170871,Juià,20,Gironès,17087,0
251180,Juncosa,18,Garrigues,25118,0
251193,Juneda,18,Garrigues,25119,0
