name,id,idx,Y,M,O
25060,25060,587,0.12,0.16,0.72
25061,25061,588,0.12,0.16,0.72
25062,25062,589,0.12,0.16,0.72
25063,25063,590,0.12,0.16,0.72
25064,25064,591,0.12,0.16,0.72
25067,25067,592,0.12,0.16,0.72
25068,25068,593,0.12,0.16,0.72
25069,25069,594,0.12,0.16,0.72
25070,25070,595,0.12,0.16,0.72
25071,25071,596,0.12,0.16,0.72
25072,25072,597,0.16,0.63,0.72
25073,25073,598,0.12,0.16,0.72
25074,25074,599,0.12,0.16,0.72
25075,25075,600,0.12,0.16,0.72
25076,25076,601,0.12,0.16,0.72
25077,25077,602,0.12,0.16,0.72
25078,25078,603,0.12,0.16,0.72
25079,25079,604,0.12,0.16,0.72
25081,25081,605,0.12,0.16,0.72
25082,25082,606,0.12,0.16,0.72
25085,25085,607,0.12,0.16,0.72
25086,25086,608,0.12,0.16,0.72
25087,25087,609,0.12,0.16,0.72
25088,25088,610,0.12,0.16,0.72
25089,25089,611,0.12,0.16,0.72
25092,25092,612,0.12,0.16,0.72
25093,25093,613,0.12,0.16,0.72
25094,25094,614,0.12,0.16,0.72
25096,25096,615,0.12,0.16,0.72
25097,25097,616,0.12,0.16,0.72
25098,25098,617,0.12,0.16,0.72
25099,25099,618,0.12,0.16,0.72
25100,25100,619,0.12,0.16,0.72
25101,25101,620,0.12,0.16,0.72
25102,25102,621,0.12,0.16,0.72
25103,25103,622,0.12,0.16,0.72
25104,25104,623,0.12,0.16,0.72
25105,25105,624,0.12,0.16,0.72
25109,25109,625,0.12,0.16,0.72
25110,25110,626,0.15,0.53,0.72
25111,25111,627,0.12,0.16,0.72
25112,25112,628,0.12,0.16,0.72
25113,25113,629,0.12,0.16,0.72
25114,25114,630,0.12,0.16,0.72
25115,25115,631,0.12,0.16,0.72
25118,25118,632,0.12,0.16,0.72
25119,25119,633,0.12,0.22,0.72
25120,25120,634,2.2,9.57,2.72
25121,25121,635,0.12,0.16,0.72
25122,25122,636,0.12,0.17,0.72
25124,25124,637,0.12,0.16,0.72
25125,25125,638,0.12,0.16,0.72
25126,25126,639,0.12,0.16,0.72
25127,25127,640,0.12,0.16,0.72
25128,25128,641,0.12,0.16,0.72
25129,25129,642,0.12,0.16,0.72
25130,25130,643,0.12,0.16,0.72
25131,25131,644,0.12,0.16,0.72
25132,25132,645,0.12,0.16,0.72
25133,25133,646,0.12,0.16,0.72
25134,25134,647,0.12,0.16,0.72
25135,25135,648,0.12,0.16,0.72
25136,25136,649,0.12,0.16,0.72
25137,25137,650,0.28,1.05,0.72
25138,25138,651,0.12,0.16,0.72
25139,25139,652,0.12,0.16,0.72
