source_idx,target_idx,ratio
15,73,0.0012234910277324
15,74,0.0020391517128874
15,78,0.0012234910277324
15,80,0.0236541598694942
15,81,0.0024469820554649
15,84,0.0044861337683523
15,87,0.0044861337683523
15,88,0.0289559543230016
15,90,0.0061174551386622995
15,92,0.0012234910277324
16,1,0.022189305185267398
16,4,0.0106995619730116
16,5,1.1629157262178285
16,11,0.027206900636447
16,12,0.0187720413166654
16,13,0.007184696987947
16,15,0.0083337252991269
16,16,2.292416913612642
16,18,0.0081282866763964
16,19,0.3978604221159497
16,22,0.0278585842240549
16,24,0.0016992549912776
16,26,0.6435105014799704
16,33,0.018370227632746098
16,36,0.0023728018980249
16,37,0.0252922318533013
16,39,0.0109654593051055
16,47,0.0288930516769318
16,48,0.0040838300340022005
16,50,0.001538448308986
16,51,0.1469795997912914
16,53,0.016089327247066302
16,54,0.0054506313545625
16,56,0.0089858036056532
16,57,0.0077614213550911
16,58,0.2176166134914974
16,60,0.0154002195825226
16,61,0.0097686239354627
16,63,0.0664396783454011
16,66,0.40265577742629477
16,70,0.2042867036234183
16,74,0.0235927890840312
16,78,0.0011538362317395
16,79,0.0069147749180392
16,80,0.023435953961473
16,81,0.0115773653282255
16,82,0.0012763106699548
16,83,0.0085135447410115
16,84,0.0012763106699548
16,85,0.0017441737829133
16,87,0.0051685481173727
16,88,0.0103815990261488
16,90,0.0548045451234958
16,101,0.0014925591450696
16,153,0.0014925591450696
17,2,0.0851513299731609
17,4,0.0075450372275154
17,5,0.0398809110597249
17,7,0.0140122119939575
17,8,0.0183236618382521
17,10,0.0021557249221473
17,11,0.0010778624610736
17,17,0.040958773520799
17,18,0.0010778624610736
17,19,0.0010778624610736
17,20,0.0032335873832209
17,21,0.0215572492214731
17,24,0.0301801489100621
17,26,0.0010778624610736
17,30,0.0075450372275156
17,36,0.10024120887985
17,38,0.0021557249221472
17,39,0.0010778624610736
17,40,0.0010778624610736
17,41,0.0010778624610736
17,42,0.0010778624610736
17,46,0.0021557249221473
17,49,0.0032335873832209
17,50,0.0010778624610736
17,51,0.0021557249221472
17,53,0.0010778624610736
17,54,0.0053893123053682
17,56,0.0010778624610736
17,60,0.0010778624610736
17,61,0.0010778624610736
17,64,0.0010778624610736
17,66,0.0010778624610736
17,68,0.0118564870718102
17,71,0.0010778624610736
17,72,0.0010778624610736
